gender,age,age_cat,educ,know_gov_name,know_sen1_name,know_sen2_name,know_house_name,knowledge,ability
Male,63,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,66,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,50,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,70,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,57,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,73,65+,4yr,0,1,1,1,-0.31746146881954945,-0.31746146881954945
Female,29,25-34,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,53,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,71,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,72,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,65,65+,Some coll.,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Male,81,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,65,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,65,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,63,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,59,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,56,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,44,35-45,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,52,45-54,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,77,65+,Some coll.,0,0,0,0,-1.6106765816497899,-1.6106765816497899
Male,72,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,34,25-34,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,61,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,54,45-54,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,55,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,41,35-45,PG,1,1,0,1,-0.3233082531361229,-0.3233082531361229
Female,61,55-64,2yr,1,0,0,1,-0.7547958177793298,-0.7547958177793298
Female,54,45-54,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,33,25-34,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,55,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,45,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,52,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,55,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,48,45-54,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,69,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,58,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,66,65+,Some coll.,1,1,0,1,-0.3233082531361229,-0.3233082531361229
Male,61,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,71,65+,Some coll.,1,0,1,1,-0.3679230807673252,-0.3679230807673252
Female,63,55-64,2yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,60,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,79,65+,Some coll.,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Male,26,25-34,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,77,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,51,45-54,2yr,0,0,0,0,-1.6106765816497899,-1.6106765816497899
Male,58,55-64,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,74,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,60,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,60,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,77,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
